Wed Dec 13 20:59:34 2023    ./profiler_results/output.dat

         73923 function calls (73902 primitive calls) in 3.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:458(recv)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:193(_cancel_all_tasks)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\_compiler.py:571(_code)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\socket.py:499(close)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:83(cancel)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:580(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\proactor_events.py:772(_close_self_pipe)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\socket.py:495(_real_close)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\tasks.py:644(ensure_future)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1587(_fn)
      644    0.000    0.000    0.000    0.000 {method 'get_fps' of 'pygame.time.Clock' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\socket.py:220(__init__)
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x0000023A4D4F7380}
       16    0.000    0.000    0.000    0.000 {method 'release' of 'zengl.Context' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\tasks.py:652(_ensure_future)
        3    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:429(create_task)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        4    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:80(get_vertices)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\tasks.py:42(all_tasks)
       20    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\ctypes\__init__.py:393(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\socket.py:287(accept)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:3228(_find_adapter)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\shader_programs.py:67(get_uniforms)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\ctypes\__init__.py:342(__init__)
       20    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\ctypes\__init__.py:511(cast)
        4    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:58(get_animations)
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:361(resource_bindings)
        7    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\encodings\cp1252.py:22(decode)
       18    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:2441(_is_zip_egg)
      4/1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\_compiler.py:37(_compile)
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:411(settings)
      312    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
